season,episode,character,line
S07,E01,Rachel, No!
S07,E01,Ross, Oh no!
S07,E01,Rachel," No-no, it’s really not huge."
S07,E01,Ross, And; people thinking it’s huge has led Monica to believe that we are stealing her thunder. (To Monica) Which we are not!
S07,E01,Monica," Well, we’re still talking about it, aren’t we?"
S07,E01,Phoebe," Well yeah, that and Chandler’s problem."
S07,E01,Joey," Monica-Monica-Monica-Monica, listen-listen, listen, listen, would-would it make you feel better if we all stop talking about Ross and Rachel."
S07,E01,Monica, Yes that would be lovely.
S07,E01,Joey," You got it. Okay. Now, I can pass for 19 right?!"
S07,E01,Chandler," Yes, you can pass for 19."
S07,E01,Joey, Really?
S07,E01,Chandler, Yes!
S07,E01,Joey, Seriously?
S07,E01,Chandler," Seriously? Seriously, no! You can play your own age which is 31!"
S07,E01,Joey, (gasps) I’m 30!
S07,E01,Rachel," Joey, you are not! You’re 31."
S07,E01,Joey, (realizes) Aww crap!
S07,E01,Phoebe," Okay, so The Plaza! Okay, we’ll get us some Mai Thai’s, (To Chandler) maybe no more for you though."
S07,E01,Monica," Y’know what? I-I think that umm, I don’t feel like going to The Plaza."
S07,E01,Phoebe, Why?!
S07,E01,Rachel," Honey, Monica, this is ridiculous! Look…"
S07,E01,Monica," No-no, I-I really don’t want to talk about it! I don’t! (To Rachel) Especially with you. (Goes into her room.)"
S07,E01,Joey," Psss, that is whack!"
S07,E01,Phoebe," (she’s strumming something) Yeah? (Joey nods yes.) Okay, I think I’ll play it at the wedding."
S07,E01,Joey," Yeah! Well, I think we’ll see if they actually let you play. Huh? I mean they tell you anything you want to hear like-like, ""You look 19,"" and then they just take it away like-like, ""No you don’t."""
S07,E01,Phoebe," Well, I don’t think Monica is gonna take this away."
S07,E01,Joey, Wouldn’t she?
S07,E01,Phoebe, Would she?
S07,E01,Joey, Would she? (He smells something and gasps as he realizes what it is.) You ate my candy bar!
S07,E01,Ross, Guess who? (Enters fully.)
S07,E01,Rachel, Hey.
S07,E01,Ross," Hey, I just realized we kinda let some stuff up in the air…"
S07,E01,Rachel," What do you think Monica mean when she said she didn’t want to talk, especially with me? I mean, why not especially you and me? We were both out there kissing."
S07,E01,Ross, Still thinking about it huh?
S07,E01,Rachel," Come on! Serious-ser-ser-seriously, what did she mean by that? (Mimicking Monica.) Especially you!"
S07,E01,Ross," (loosening his tie) Oh, who cares?"
S07,E01,Rachel, I care!
S07,E01,Ross, (tightening his tie) And so do I.
S07,E01,Rachel," Y’know what, I-I have to go talk to her, would you let me just get changed?"
S07,E01,Ross, Okay. Sure. (Sits down on her bed.)
S07,E01,Rachel, Am I going to let you watch me undress?
S07,E01,Ross, (sitting up) No! (Exits.)
S07,E01,Monica," I can’t believe her, y’know it’s just—it’s so typical."
S07,E01,Chandler," Now Monica, I know you’re upset, but don’t forget. There is going to be a wedding, you are going to throw the bouquet, and then there’s going to be a honeymoon, maybe in Paris."
S07,E01,Monica, Paris?
S07,E01,Chandler, We will take a moonlit walk on the Rue de la (mumbles something).
S07,E01,Monica, Keep talking.
S07,E01,Chandler," Then we will sprinkle rose pedals on the bed and make love. Not just because it’s romantic, but because I can!"
S07,E01,Monica, I love you!
S07,E01,Monica," (in a French accent) Bonjour, monsieur."
S07,E01,Chandler," Okay, don’t say anything, you might scare it away."
S07,E01,Chandler," It’s Paris, who knows we’re here!"
S07,E01,Monica," (opening the door) Hi Pheebs, what’s up? (She enters.)"
S07,E01,Phoebe," Okay, you said I could sing at your wedding so, I’m just gonna need a small deposit."
S07,E01,Monica, What?!
S07,E01,Phoebe," Y’know, just some good faith money to hold the date."
S07,E01,Chandler," Pheebs, we’re not giving you a deposit for our wedding!"
S07,E01,Phoebe," Oh, I see. (Exits angrily.)"
S07,E01,Joey," They break your heart, don’t they?"
S07,E01,Phoebe," Y’know, I don’t really their permission."
S07,E01,Joey," Yeah! If you wanna sing at their wedding, well you sing at their wedding!"
S07,E01,Phoebe," Yeah! And if you wanna look 19, then you… You gotta do something about your eyes."
S07,E01,Joey, What?! What’s wrong with my eyes.
S07,E01,Phoebe, They give you away! There’s just-there’s just too much wisdom in there. (Joey nods in agreement.) Just put some tea bags on there for like 15 minutes.
S07,E01,Joey, And that’ll get rid of my wisdom?
S07,E01,Phoebe, Maybe just 10 minutes for you.
S07,E01,Chandler," Oh, give her the deposit! Give her the ring! I don’t care!"
S07,E01,Monica, Yes.
S07,E01,Rachel," Monica, what did you mean before when you said you didn’t want to talk to anyone, especially me?"
S07,E01,Chandler," What a great apology! (To Monica) And you accept! Okay, bye-bye!"
S07,E01,Rachel," No-no, seriously-seriously, what was the especially me part about?"
S07,E01,Monica," Well, let’s just say it’s not the first time you’ve stolen my thunder."
S07,E01,Rachel, What?!
S07,E01,Ross," (To Rachel) Hey, here’s a thought."
S07,E01,Rachel," Monica, what are you talking about?"
S07,E01,Monica," My Sweet Sixteen! Remember, you went to third base with my cousin Charlie."
S07,E01,Chandler," (entering) Ahh, third base."
S07,E01,Monica, It’s all everybody at the party could talk about!
S07,E01,Rachel," Monica, y’know what? The only reason I did that was because your party was so boring!"
S07,E01,Monica, (gasps) We had a characturist!
S07,E01,Rachel, Oh!!
S07,E01,Phoebe," (singing, angrily)"
S07,E01,Rachel," Monica, your Sweet Sixteen was like a million years ago."
S07,E01,Monica," And yet, here we are doing it again."
S07,E01,Rachel," Ugh, Monica I don’t want to steal your stupid thunder!"
S07,E01,Monica, Oh please! Why else would you have made out with Ross?!
S07,E01,Ross, Got me. (He shows of his hands.)
S07,E01,Rachel," All right, easy mimey, the moment has passed, it ain’t gonna happen!"
S07,E01,Monica, I just thought it would be nice if I could have just this one night!
S07,E01,Rachel," I swear, I never wanted any part of your night!"
S07,E01,Monica," Oh, is that why you did it the secret hallway where nobody ever goes?!"
S07,E01,Ross," Uh, Rachel, I’ve been thinking. I don’t think us getting together tonight is such a good idea. I’m calling it off."
S07,E01,Chandler, (To Ross) Why to save your dignity my man.
S07,E01,Rachel," (ignoring them) Monica, why? Why would I ever want to take away from your night?"
S07,E01,Monica," I don’t know! I don’t—maybe you’re feeling a little resentful. Maybe ah, maybe you thought you’d get married first! Maybe you can’t stand the fact that your formally fat friend is getting married before you!"
S07,E01,Rachel," Oh wow. That—y’know what? That is so unfair. Y’know what? Now I want to steal your thunder! Come on Ross, let’s go have sex!"
S07,E01,Monica, (yelling after them) I can’t believe you’re gonna have sex on my engagement night!!
S07,E01,Chandler," Well, somebody should. (Monica glares at him.)"
S07,E01,Ross," Look uh, if we’re gonna do this…"
S07,E01,Rachel," We’re not gonna do this, all right? She’s just gonna think that we’re doin’ it."
S07,E01,Ross," Oh, I see, so everybody wins."
S07,E01,Rachel, Who is it?
S07,E01,Monica," (outside the door) It’s Monica, open up!"
S07,E01,Rachel," Okay well Ross! Stop it please! Wait a minute! (Motions for him to follow her lead, but he angrily shakes his head no. So she pokes him.)"
S07,E01,Ross, Oww!
S07,E01,Rachel," Yeah, you like that baby? (Monica bursts in followed by Chandler.) May we help you?"
S07,E01,Monica," I just wanted to say that I hope you do have sex tonight and I hope that you guys get back together, but I must warn you, the night that you announce your engagement I’m going to announce that I’m pregnant!"
S07,E01,Chandler, How is that ever going to happen?!
S07,E01,Rachel," All right Monica, do you want to know why I was with Ross tonight?!"
S07,E01,Monica, I know why!
S07,E01,Rachel, No you don’t know why!
S07,E01,Monica, Okay! Why?!
S07,E01,Rachel, Because! Because I was sad.
S07,E01,Monica, What do you mean?
S07,E01,Rachel," Look, I am so…so happy for you guys, but you getting married just reminds me of the fact that I’m not. I’m not even close. And I don’t know, maybe I just wanted to make myself feel better. And I know that that"
S07,E01,Chandler," (To Ross) I don’t care, she slept with me."
S07,E01,Rachel," Anyway sweetie, I am, I’m so sorry I ruined your night."
S07,E01,Monica, (starting to cry) I’m sorry I almost made you sleep with Ross. (They hug.)
S07,E01,Ross," (deadpan) Well, I’m going to take off. (To Chandler) Congratulations man."
S07,E01,Chandler, Thanks.
S07,E01,Ross," (at the door) And uh, Rachel."
S07,E01,Rachel, Yeah.
S07,E01,Ross," What can I say, you missed your chance. From now on the only person who’s going to enjoy these bad boys (holds up his hands) is me. (Quickly realizes what he said and exits disgustedly.)"
S07,E01,Phoebe, (singing)
S07,E01,Chandler," (interrupting her just in time) Hey! Here’s a dollar, consider it a deposit. Please sing at our wedding."
S07,E01,Phoebe, Oh thank you.
S07,E01,Chandler, Okay. (Goes back to bed.)
S07,E01,Phoebe," Now… (Starts singing again) ""Who will perform the ceremony! Who will perform the cer—(Chandler enters and grabs her guitar and closes the door behind him)—Oh—oh! All right, I’ll pound on him in the morning."
S09,E06,Chandler," (picking up the telephone, answering it with a frog in his throat) Hello? (he clears his throat, but he still has the same frog in his throat when he speaks again) Hello?"
S09,E06,Monica," (in her apartment, screaming) I LOVE MY NEW JOB!"
S09,E06,Chandler," Honey, you're screaming."
S09,E06,Monica, YOU BET YOUR ASS I AM! I just had the best first day ever! The kitchen: twice as big as Allessandro's.
S09,E06,Chandler," (yawning) Oh, that's great."
S09,E06,Monica," Yeah, a-a-and clean. Not just health department clean... Monica clean."
S09,E06,Chandler, (clearly not so interested) Awesome.
S09,E06,Monica," Oh, and the people are so nice. There's this one guy, Geoffrey, he's the Maitre D., Chandler, you will love him. He is without a doubt, the funniest guy I have ever met. (Chandler, who was almost asleep again, sits up straight in bed in an instant and can't believe what he just heard.)"
S09,E06,Mike, This is nice.
S09,E06,Phoebe," I know! (Phoebe picks up a little packet of sugar, shakes it, and then realises she can't open it with one hand, but doesn't want to let go of Mike's hand. She tries to tear open the packet with one hand.)"
S09,E06,Mike, You need both hands for that?
S09,E06,Phoebe," Yeah, I kinda do. (Mike lets go of her hand) Well, how's this? (she takes Mike's hand and puts it on her breast, she tears open the sugar and puts it in her coffee. Mike thinks it over and nods appreciative. After that, they hold hands again. Joey now enters, and sees the two sitting on the couch, holding hands.)"
S09,E06,Joey," (in a very aaaaahhhhh sweeeeeet voice) Aaahhh, look at you two... holding hands... huh is this getting serious? (Phoebe and Mike, embarrassed, start babbling and look away.) Have you not talked about it yet? (They say nothing now, but smile) Am I making you uncomfortable? (smiles are becoming forced now, and he speaks to Mike) If you"
S09,E06,Phoebe, I'm sorry... I'm sorry. It's obviously way too early for us to be... having that conversation.
S09,E06,Mike, Is it?
S09,E06,Phoebe," (in a flash she answers) Maybe not, is it?"
S09,E06,Mike," Okay, when I got divorced, I didn't think I'd feel this way about someone for a really long time... Then again, I didn't think I'd meet someone like you... and... this may be crazy soon, but... I want you to have this... (He tries to get something from his pocket, but it's not that easy... Phoebe looks in a ""what's happening"" face to"
S09,E06,Phoebe," (impatient) I know Mike, why don't you keep digging?"
S09,E06,Mike," Oh, sorry. (He digs in again and finally finds what he's been looking for. A key.)"
S09,E06,Phoebe," Oh, it's a key. To be honest, I think I'd prefer the five dollars."
S09,E06,Mike, It's to my apartment.
S09,E06,Phoebe," (really surprised) Oh wow, ooh! Ooh, big step for Phoebe and Mike."
S09,E06,Mike," Yeah, look, and I don't want you to feel like you have to give me your key just because..."
S09,E06,Phoebe," Oh no, I want to."
S09,E06,Mike," Oh, thank God. (he laughs nervously, and Phoebe gets her keychain from her bag.)"
S09,E06,Phoebe," Yeah... ooh... wow... Even started to think I'd never meet someone that, you know, I wanted to... do this with. Here you go. (Both Phoebe and Mike look really proud.)"
S09,E06,Mike," Is this cool, huh?"
S09,E06,Phoebe, It really is.
S09,E06,Joey," (sitting at his table) Oh, I know it... It is amazing these little things open doors... huh! (mimes opening a door with his own keys, Phoebe looks at him in a ""yeah, yeah, yeah"" way.)"
S09,E06,Rachel," So I don't go back to work for another four weeks, but we would like our nanny to start right away, so that Emma could get a chance to know her."
S09,E06,Rachel," That's great, great. So do you have any questions for us?"
S09,E06,Rachel, Allright. Well thank you so much for coming... (they're standing up and make their way to the door)
S09,E06,Ross, Thank you.
S09,E06,Rachel, Really nice to meet you... and we'll call you.
S09,E06,Ross," Boy, we uhm... hadn't really thought of that."
S09,E06,Rachel, Okidoki! (and she slams the door in the nanny's face while Ross crumples up the application form) Wow! We're never gonna find a nanny.
S09,E06,Ross," Oh, come on Rach, we will. I promise. We have more interviews (They sit down and Rachel sighs) And worse comes to worse, we can always reconsider the uhm... the first one we met with."
S09,E06,Rachel," (indignant) What, the blonde with no bra?"
S09,E06,Ross," She was blonde? (he looks surprised for a while, but then gets a ""gotcha"" expression on his face... There's knocking at the door.) Just a sec.! Okay, okay. This one's name is Sandy. She's got a degree in early childhood education, uhm... she worked for her last family for three years."
S09,E06,Rachel, Okay... (Ross opens the door.)
S09,E06,Ross, And she's a little mannish...
S09,E06,Phoebe, (gasps) Oh my God! David!
S09,E06,David, Hi! I-i-is this a bad time?
S09,E06,Phoebe," (excited) No! It's a great time, come in...! WOW, hi... Oh my gosh! What are you doing here? Are you back from Minsk?"
S09,E06,David," Well, just for a couple of days, uhm... I'm here to explain to the people who gave us our grant, why it's a positive thing that we spent all their money and uhm... accomplished uhm... nothing."
S09,E06,Phoebe," Who cares, it got you here."
S09,E06,David," Well, it got me to New York anyway, and then I got on a cab at the airport, and the guy said where to? and I just... gave him your address I... I... I didn't even think about it."
S09,E06,Phoebe, Wow. Where is your luggage? (David thinks for a while)
S09,E06,David, Damn it!
S09,E06,Phoebe," A-Allright, well... I'll call the cab company."
S09,E06,David," Wa... wa... wait! We can... call them later. Can you just... just stand there f-f-for a moment? Boy! There's an old Russian expression, uhm... it goes: Schto ya ztez vigul... ui! Roughly translated that means uhm... This thing that I'm looking at: wow!"
S09,E06,Phoebe," Thank you! God, no! You should see me when... Oh actually, no, I look pretty good."
S09,E06,David," Are... are you kidding? You know, when you don't see someone for a long time, a-a-and you kind of build them up in your head and you start thinking about: Come on, don't be crazy. Nobody is that beautiful, but... well, you are. (Phoebe seems very charmed) Well, so, uhm... are you seeing... anyone? (Phoebe is still up on a cloud from"
S09,E06,Phoebe, No...
S09,E06,Phoebe, I'm... I'm just... I'm the worst person ever. How can I not tell David that I'm seeing Mike?
S09,E06,Monica, Maybe he didn't give you a chance.
S09,E06,Phoebe, He said: Are you seeing someone? And I said no...
S09,E06,Monica," Oh, well... That had been your window."
S09,E06,Phoebe," Yeah! I mean, I don't know. I was just , I was looking, I was looking in his eyes and I was just thinking: Oh my God! It's David. David's here. He's just, he's so irresistible."
S09,E06,Monica, Really? The scientist guy?
S09,E06,Phoebe, Really? Chandler?
S09,E06,Monica, Continue...
S09,E06,Phoebe," Oh.Okay, then it gets worse, 'cause then I told him that I would see him tomorrow night."
S09,E06,Monica, Phoebe!
S09,E06,Phoebe," I know! (points at herself) Evil! And... and... and... I like Mike so much, you know. It's just going really well. Oh my God!"
S09,E06,Monica," Wow, isn't it ironic that David would show up on the same day that you and Mike exchange keys?"
S09,E06,Phoebe," (sarcastically) Uhuh... Yeah...!, you know. And given my life long search for irony, you can imagine how happy I am."
S09,E06,Monica, What are you gonna do?
S09,E06,Phoebe," I mean I guess, I just have to... tell David that nothing can happen between us. Unless I don't... You know, complicated moral situation, no right, no wrong..."
S09,E06,Monica, You have to tell David!
S09,E06,Phoebe," Okay, I knew I should have had this conversation with Joey."
S09,E06,Chandler," (angry) Funniest guy she's ever met! (to the door) I'm funny, right...? What do you know, you're a door... You just like knock-knock jokes... (laughs about himself, but then gets determined again) Save it for inside! (he enters)"
S09,E06,Monica, Heeeeeey!
S09,E06,Chandler, Hey!
S09,E06,Phoebe, Hey!
S09,E06,Chandler," So... Oklahoma is a crazy place. You know, they call it the Sooner state. Frankly I'd sooner be in any other state. (Monica looks at Phoebe, who also doesn't know what to say.) And what's with Oklahoma having a pan handle? Can all states have stuff like that? Hey yeah, I'm from the waistband, Wyoming. But when I was seven, we hea"
S09,E06,Monica, (Doesn't believe what she's hearing) Was your cabin pressurised?
S09,E06,Chandler," (laughs, but then moves to Phoebe) And don't get me started on the way that people from Tulsa talk."
S09,E06,Phoebe, Okay. (and she walks away)
S09,E06,Chandler," What's with the word y'all? You know, just... two words just... pushed together... Are we all allowed to do that, because if so, I say why stop there? You know, your new poodle could be your noodle. And fried chicken? Could be fricken.Waiter, waiter excuse me, I'll have the fricken? (Monica laughs) See, that's... that's funny wit"
S09,E06,Monica," No, it just remind me of something this guy did today at work. I told you about that funny guy, Geoffrey, right?"
S09,E06,Chandler," Yeah, he came up..."
S09,E06,Monica," Well, he did this bit... You probably had to be there, but it was Liza Minelli locked in our freezer, eating a raw chicken. (Phoebe bursts out in a laugh)"
S09,E06,Chandler, (to Phoebe) Were you there?
S09,E06,Phoebe," No, but it sounds like it was fricken funny..."
S09,E06,Rachel," Sandy, that's exactly what it is..."
S09,E06,Ross, Are you gay? (Rachel turns to Ross in an embarrassed way)
S09,E06,Rachel, Ross!
S09,E06,Rachel, Oh!
S09,E06,Rachel," Oh, that's pretty."
S09,E06,Ross, (skeptic) So you're just like a... guy who's a nanny?
S09,E06,Ross," (on a yeah, right tone) Okay."
S09,E06,Ross," Yeah, kids say all kinds of crap. (In the other room Emma starts to cry.)"
S09,E06,Rachel," Oh God, she mu... she must need her diaper changed."
S09,E06,Rachel," Oh, that would be great! (Sandy leaves for Emma's room) I love him, I love him, I love him..."
S09,E06,Ross," Oh, come on, Rach, he's a guy!"
S09,E06,Rachel," So wh..? He's smart, he's qualified. Give me one good reason we shouldn't try him out."
S09,E06,Ross," Because, it's weird!"
S09,E06,Rachel, Why?
S09,E06,Ross, What kind of job is that for a man? A nanny? I-It's like if a woman wanted to be...
S09,E06,Rachel," (she's got that ""yeah, try to say it"" look on her face) Yes?"
S09,E06,Ross, King?
S09,E06,Rachel," (whispering and begging) Please? (Ross makes a ""whatever"" gesture) YES! Sandy you're hired."
S09,E06,Rachel, Oooh... ***I really can't hear what she says*** come here.
S09,E06,Ross, You gotta be at least bi...
S09,E06,Chandler," Hey! (Joey doesn't look up, but gestures 'wait a minute' with his finger while he finishes reading the article. Chandler waits for Joey to finish.) I need you to set me up for a joke. Later, when Monica is around, I need you to ask me about fire trucks."
S09,E06,Joey, Ooh. I-I don't know Chan. I'm not so good with remembering lines.
S09,E06,Chandler," (Can't believe what he hears) Well, thank God your livelihood doesn't depend on it."
